city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
antofagasta,cl,-23.18999999996582,-69.67000000010034,-23.65,-70.4,59,62,0,11.41
iskenderun,tr,36.460000000064696,35.829999999803704,36.58,36.17,80.6,54,0,18.34
batagay-alyta,ru,67.78000000008072,130.97999999971717,67.8,130.41,52.08,93,0,2.64
bobbili,in,18.490000000055502,83.34999999976048,18.58,83.35,77.1,86,24,3.2
svetlogorsk,ru,66.0100000000798,92.30999999975234,53.14,59.15,62.6,67,20,6.71
pisco,pe,-18.31999999996333,-82.93000000008828,-13.71,-76.2,62.6,82,90,6.93
klaksvik,fo,78.01000000008594,-5.670000000158552,62.23,-6.59,50,100,75,5.82
merauke,id,-9.169999999958648,138.6299999997102,-8.49,140.4,74.85,98,92,13.71
tracy,us,37.46000000006521,-121.45000000005325,37.74,-121.43,83.66,23,1,6.93
araouane,ml,19.460000000056,-1.8300000001620447,18.9,-3.53,106.89,13,64,3.76
nyrany,cz,49.78000000007151,13.169999999824313,49.71,13.21,58.8,87,90,2.24
teya,ru,61.19000000007736,91.98999999975263,60.37,92.63,56.85,87,0,1.97
bandarbeyla,so,6.780000000049512,59.00999999978262,9.49,50.81,80.52,78,0,30.6
progreso,mx,23.210000000057917,-91.10000000008085,20.25,-99.19,71.7,50,12,5.66
cayenne,gf,5.600000000048908,-52.06000000011636,4.94,-52.33,87.8,62,0,9.17
vysokogornyy,ru,48.84000000007103,138.5399999997103,50.1,139.13,58.02,90,92,2.75
chokwe,mz,-22.7599999999656,33.59999999980573,-24.53,32.98,63.33,88,0,5.55
nguruka,tz,-5.00999999995652,30.979999999808115,-5.11,31.04,69.36,54,0,4.43
shiyan,cn,32.1700000000625,110.22999999973604,32.65,110.78,72.51,98,88,1.74
gaoyou,cn,32.69000000006277,119.6199999997275,32.79,119.43,78.99,90,0,11.25
lagunillas,mx,20.97000000005677,-104.74000000006845,17.83,-101.71,91.4,59,75,9.17
lincoln,ar,-35.92999999997234,-62.160000000107175,-34.87,-61.53,51.81,75,32,17.07
ketchikan,us,55.56000000007447,-132.47000000004323,55.34,-131.65,61.38,67,90,12.75
praia da vitoria,pt,45.000000000069065,-24.030000000141854,38.73,-27.07,73.4,73,20,5.99
nelson bay,au,-35.239999999971985,154.97999999969534,-32.72,152.14,37.4,93,40,1.19
darhan,mn,46.56000000006986,109.2799999997369,49.49,105.92,50.73,99,92,8.46
nanakuli,us,15.420000000053932,-162.14000000001624,21.39,-158.15,79.72,73,1,3.36
staryy nadym,ru,66.48000000008005,72.62999999977023,65.61,72.68,63.69,51,12,9.24
broome,au,-14.89999999996158,121.79999999972551,-17.97,122.23,57.2,67,0,5.82
mercedes,ar,-35.33999999997204,-66.19000000010351,-29.18,-58.08,57.75,77,0,5.1
storm lake,us,42.290000000067664,-95.2300000000771,42.64,-95.21,80.44,78,1,4.7
alta floresta,br,-10.059999999959103,-53.110000000115406,-9.87,-56.08,82.4,45,0,5.82
yining,cn,42.75000000006793,80.67999999976291,29.04,114.56,73.5,92,12,2.08
korla,cn,35.950000000064435,88.72999999975559,41.76,86.15,66.03,64,24,2.75
tacuarembo,uy,-31.62999999997014,-56.850000000112004,-31.73,-55.98,55.95,91,0,4.65
bathsheba,bb,21.34000000005696,-47.6200000001204,13.22,-59.52,86,66,40,21.92
mtwango,tz,-9.109999999958617,34.949999999804504,-9.02,34.8,57.03,86,8,9.46
amazar,ru,52.44000000007287,121.17999999972608,53.86,120.88,50.91,91,48,2.19
zhezkazgan,kz,49.11000000007118,68.35999999977412,47.8,67.71,78.09,44,0,10.58
lake havasu city,us,34.760000000063826,-114.01000000006002,34.47,-114.34,98.69,28,1,10.29
tortoli,it,39.9800000000665,9.589999999827569,39.93,9.66,73.4,88,40,2.24
jiangkou,cn,24.82000000005874,119.63999999972748,30.7,117.56,78.36,83,0,4.54
noumea,nc,-28.969999999968778,163.42999999968765,-22.28,166.46,59,93,0,4.7
otofuke,jp,43.470000000068296,143.32999999970593,43.02,143.2,58.47,99,92,3.76
whitianga,nz,-36.21999999997249,176.47999999967578,-36.83,175.7,56.13,100,8,11.59
eisenerz,at,47.660000000070426,14.839999999822794,47.54,14.89,64.4,63,92,6.93
wajima,jp,38.69000000006582,135.14999999971337,37.4,136.9,73.05,91,80,2.42
saint george,bm,32.01000000006242,-59.610000000109494,32.38,-64.68,84.2,74,75,14.99
saint-louis,sn,16.320000000054392,-16.68000000014854,16.03,-16.5,80.6,74,40,6.93
vestmannaeyjar,is,56.88000000007514,-21.860000000143827,63.44,-20.27,51.8,93,75,13.87
kalmunai,lk,7.630000000049947,86.83999999975731,7.42,81.82,79.98,75,24,9.57
abha,sa,20.390000000056475,42.259999999797856,18.22,42.5,77.11,64,76,3.36
port macquarie,au,-34.239999999971474,158.81999999969185,-31.43,152.91,41,100,0,2.24
soledad,co,10.90000000005162,-74.69000000009578,10.91,-74.78,89.85,63,40,11.41
puerto del rosario,es,25.790000000059237,-12.090000000152713,28.5,-13.86,76.82,69,0,19.46
casper,us,42.58000000006783,-106.53000000006682,42.87,-106.31,95,23,1,4.7
sioux lookout,ca,50.230000000071755,-90.62000000008129,50.1,-91.92,77,41,20,3.36
the valley,ai,20.11000000005633,-62.370000000106984,18.22,-63.06,86.94,66,75,19.46
san borja,bo,-14.539999999961395,-66.70000000010305,-14.86,-66.75,69.18,53,0,2.64
gao,ml,17.06000000005477,0.23999999983607267,16.28,-0.04,94.47,48,0,3.65
touros,br,3.7300000000479514,-29.360000000137006,-5.2,-35.46,75.03,100,92,7.45
tiarei,pf,-14.129999999961186,-146.8100000000302,-17.53,-149.33,80.6,51,20,4.7
seoul,kr,36.56000000006475,129.24999999971874,37.57,126.98,76.68,94,90,2.53
llanes,es,44.67000000006891,-4.670000000159462,43.42,-4.75,69.9,64,8,1.97
takoradi,gh,0.42000000004625804,-1.3200000001625085,4.89,-1.75,78.27,95,56,8.12
breves,br,-1.0099999999544735,-50.42000000011785,-1.68,-50.48,90.06,60,12,5.21
tuatapere,nz,-53.51999999998134,160.77999999969006,-46.13,167.69,45.96,100,64,16.17
nuevo progreso,mx,23.55000000005809,-97.14000000007536,17.14,-95.05,76.74,100,44,8.01
santa rosalia,mx,26.85000000005978,-112.59000000006131,28.71,-111.6,93.2,52,40,6.93
jumla,np,32.13000000006248,82.32999999976141,29.28,82.18,39.75,94,92,2.64
belorechensk,ru,58.58000000007601,52.39999999978863,44.77,39.87,87.8,40,0,8.95
manacapuru,br,-3.989999999955998,-60.79000000010842,-3.3,-60.62,77.19,100,44,6.67
pyaozerskiy,ru,66.16000000007989,30.80999999980827,65.83,31.17,64.68,41,0,3.42
lompoc,us,34.680000000063785,-120.32000000005428,34.64,-120.46,81.19,25,1,6.93
puerto rico,co,2.240000000047189,-74.60000000009586,2.94,-73.21,79.44,84,68,3.2
mandalgovi,mn,43.330000000068196,107.71999999973832,45.76,106.27,48.57,92,8,2.75
bhainsdehi,in,21.950000000057273,77.59999999976571,21.65,77.63,74.4,93,88,7.67
katiola,ci,8.28000000005028,-5.590000000158625,8.14,-5.1,77,88,75,2.24
luderitz,na,-31.129999999969883,0.9499999998354269,-26.65,15.16,60.81,61,0,7.78
ambilobe,mg,-9.439999999958786,49.659999999791125,-13.19,49.05,72.6,60,0,14.5
siavonga,zm,-16.73999999996252,28.219999999810625,-16.54,28.71,63.87,98,88,4.54
lamlash,gb,55.50000000007444,-5.060000000159107,55.53,-5.13,65.35,68,20,5.82
novonukutskiy,ru,53.830000000073596,102.72999999974286,53.7,102.71,46.23,89,0,2.42
kotdwara,in,29.760000000061268,78.7199999997647,29.75,78.53,71.79,100,88,1.97
luang prabang,la,19.860000000056203,102.2399999997433,19.89,102.14,70.17,99,80,1.97
toma,bf,12.990000000052689,-4.490000000159625,12.76,-2.9,89.7,63,0,2.53
ust-maya,ru,60.65000000007706,133.98999999971443,60.42,134.54,63.69,68,0,4.43
chauk,mm,21.020000000056797,94.37999999975045,20.89,94.82,77.37,86,80,14.83
yerofey pavlovich,ru,55.440000000074406,121.93999999972539,53.97,121.97,51.54,90,44,2.19
cabo san lucas,mx,16.500000000054484,-115.21000000005893,22.89,-109.91,91.4,41,20,13.87
bafq,ir,32.68000000006276,55.719999999785614,31.6,55.4,89.79,17,80,10.13
labuhan,id,-15.949999999962117,97.87999999974727,-2.54,115.51,72.51,91,80,2.53
moissala,td,8.38000000005033,17.949999999819966,8.34,17.77,71.61,97,68,6.22
kawalu,id,-10.879999999959523,107.9599999997381,-7.38,108.21,63.42,100,76,1.41
ban nahin,la,18.17000000005534,104.38999999974135,18.24,104.21,73.41,100,88,1.19
campos,br,-22.339999999965386,-40.960000000126456,-11.19,-38,77.46,75,68,8.79
sandy bay,hn,16.480000000054474,-86.69000000008486,16.33,-86.56,87.8,70,40,9.17
